Job Role,Technical Skills,Soft Skills
Data Scientist,"Python, Machine Learning, SQL, Pandas, Scikit-learn, Data Visualization","Analytical Thinking, Communication, Problem Solving, Curiosity"
Frontend Developer,"HTML, CSS, JavaScript, React, Responsive Design, Git","Creativity, Attention to Detail, Teamwork, Adaptability"
Backend Developer,"Python, Django, REST APIs, SQL, PostgreSQL, Git","Logical Thinking, Collaboration, Problem Solving, Patience"
Mobile App Developer,"Flutter, Dart, Android Studio, Firebase, Git","Creativity, Problem Solving, Team Collaboration, Agility"
Business Analyst,"Excel, SQL, Power BI, Tableau, Statistics, Python","Critical Thinking, Communication, Business Acumen, Detail Oriented"
Project Manager,"Project Planning Tools, JIRA, Scrum, Budgeting Tools","Leadership, Communication, Time Management, Decision Making"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, HTML/CSS Basics","Empathy, Creativity, User-Centered Thinking, Collaboration"
DevOps Engineer,"Linux, CI/CD, Docker, Kubernetes, AWS, Jenkins","Problem Solving, Proactiveness, Collaboration, Resilience"
Digital Marketing Specialist,"SEO, SEM, Google Analytics, Social Media Ads, Email Marketing","Creativity, Communication, Data-Driven Thinking, Adaptability"
Product Manager,"Product Roadmaps, A/B Testing, Market Research, Agile Tools","Strategic Thinking, Communication, User Empathy, Leadership"
Software Engineer,"Java, Python, C++, Spring, Django, React, SQL, NoSQL, Git, AWS, Azure","Problem-solving, Teamwork, Communication, Attention to Detail"
Cybersecurity Analyst,"C, C++, Java, PHP, Operating Systems, Network Protocols, Cybersecurity Tools, Vulnerability Scanning, Penetration Testing","Analytical Thinking, Problem-solving, Attention to Detail, Communication"
Cloud Engineer,"AWS, Azure, GCP, EC2, S3, Python, Bash, Security Best Practices, CloudWatch","Problem-solving, Communication, Adaptability, Teamwork"
Network Engineer,"OSPF, BGP, Cisco, Juniper, Firewall Management, Python, Ansible","Problem-solving, Analytical Skills, Documentation, Independence, Teamwork"
Database Administrator (DBA),"SQL, NoSQL, Database Security, Backup and Recovery, Performance Tuning, Cloud Database Management","Problem-solving, Communication, Attention to Detail, Analytical Skills, Prioritization"
Technical Writer,"Markdown, Adobe FrameMaker, Content Management Systems, Git, SEO","Communication, Attention to Detail, User Empathy, Collaboration, Adaptability"
Sales Engineer,"P&ID Interpretation, Industry Standards, MS Office, CRM Platforms, Product Knowledge","Communication, Customer Orientation, Collaboration, Negotiation, Presentation Skills"
IT Support Specialist,"Windows, macOS, Linux, Network Troubleshooting, Hardware and Software Installation, Security Fundamentals, Ticketing Systems","Problem-solving, Customer Service, Communication, Troubleshooting, Patience, Empathy"
Site Reliability Engineer (SRE),"Linux, Cloud Platforms, Python, Go, Prometheus, Grafana, CI/CD","Problem-solving, Analytical Thinking, Communication, Collaboration, Composure under Pressure"
Platform Engineer,"AWS, Azure, GCP, Kubernetes, Docker, Terraform, CI/CD, Scripting","Collaboration, Problem-solving, Communication, Technical Leadership"
